sample,key,value
SRR9053485,latitude,40.615379
SRR9049938,latitude,53.7695
SRR9053858,latitude,47.611309
SRR9053246,latitude,29.669853
SRR9053447,latitude,37.812164
SRR9050312,latitude,40.795017
SRR13899056,latitude,24.86
SRR9053067,latitude,32.839684
SRR24218762,latitude,22.754
SRR9053752,latitude,29.911016
SRR9050277,latitude,43.393963
SRR9053576,latitude,29.909889
SRR9053219,latitude,32.829613
ERR10113533,latitude,62.6525
SRR9050062,latitude,1.218041
SRR9050262,latitude,40.814266
SRR24218790,latitude,22.75
ERR10113508,latitude,62.65267
SRR9050303,latitude,35.050751
SRR9050152,latitude,53.6440833
SRR24218580,latitude,22.75
SRR9053606,latitude,37.797737
SRR9053165,latitude,37.819881
SRR9050234,latitude,53.5228611
SRR9053511,latitude,33.760639
SRR9053485,longitude,-74.0495
SRR9049938,longitude,8.05216666
SRR9053858,longitude,-122.454018
SRR9053246,longitude,-94.978554
SRR9053447,longitude,-122.500671
SRR9050312,longitude,14.311433
SRR13899056,longitude,-158.568
SRR9053067,longitude,-79.896294
SRR24218762,longitude,-157.997
SRR9053752,longitude,-90.097229
SRR9050277,longitude,4.955158
SRR9053576,longitude,-90.111671
SRR9053219,longitude,-79.931465
ERR10113533,longitude,18.95217
SRR9050062,longitude,103.868362
SRR9050262,longitude,14.318509
SRR24218790,longitude,-157.999
ERR10113508,longitude,18.95233
SRR9050303,longitude,129.097794
SRR9050152,longitude,8.13644444
SRR24218580,longitude,-158.0
SRR9053606,longitude,-122.322937
SRR9053165,longitude,-122.469429
SRR9050234,longitude,8.15269444
SRR9053511,longitude,-118.258499
SRR9053485,date,2017-06-21
SRR9049938,date,2017-05-02
SRR9053858,date,2017-07-28
SRR9053246,date,2017-06-08
SRR9053447,date,2017-07-26
SRR9050312,date,2017-05-09
SRR13899056,date,2017-07-01
SRR9053067,date,2017-06-12
SRR24218762,date,2016-10-16
SRR9053752,date,2017-06-06
SRR9050277,date,2017-05-05
SRR9053576,date,2017-06-06
SRR9053219,date,2017-06-12
ERR10113533,date,2019-09-16
SRR9050062,date,2017-08-23
SRR9050262,date,2017-05-09
SRR24218790,date,2016-02-11
ERR10113508,date,2019-06-11
SRR9050303,date,2017-08-17
SRR9050152,date,2017-05-02
SRR24218580,date,2015-04-23
SRR9053606,date,2017-07-26
SRR9053165,date,2017-07-26
SRR9050234,date,2017-05-02
SRR9053511,date,2017-07-24
SRR9053485,month,6.0
SRR9049938,month,5.0
SRR9053858,month,7.0
SRR9053246,month,6.0
SRR9053447,month,7.0
SRR9050312,month,5.0
SRR13899056,month,7.0
SRR9053067,month,6.0
SRR24218762,month,10.0
SRR9053752,month,6.0
SRR9050277,month,5.0
SRR9053576,month,6.0
SRR9053219,month,6.0
ERR10113533,month,9.0
SRR9050062,month,8.0
SRR9050262,month,5.0
SRR24218790,month,2.0
ERR10113508,month,6.0
SRR9050303,month,8.0
SRR9050152,month,5.0
SRR24218580,month,4.0
SRR9053606,month,7.0
SRR9053165,month,7.0
SRR9050234,month,5.0
SRR9053511,month,7.0
SRR9053485,year,2017.0
SRR9049938,year,2017.0
SRR9053858,year,2017.0
SRR9053246,year,2017.0
SRR9053447,year,2017.0
SRR9050312,year,2017.0
SRR13899056,year,2017.0
SRR9053067,year,2017.0
SRR24218762,year,2016.0
SRR9053752,year,2017.0
SRR9050277,year,2017.0
SRR9053576,year,2017.0
SRR9053219,year,2017.0
ERR10113533,year,2019.0
SRR9050062,year,2017.0
SRR9050262,year,2017.0
SRR24218790,year,2016.0
ERR10113508,year,2019.0
SRR9050303,year,2017.0
SRR9050152,year,2017.0
SRR24218580,year,2015.0
SRR9053606,year,2017.0
SRR9053165,year,2017.0
SRR9050234,year,2017.0
SRR9053511,year,2017.0
SRR9053485,day,21.0
SRR9049938,day,2.0
SRR9053858,day,28.0
SRR9053246,day,8.0
SRR9053447,day,26.0
SRR9050312,day,9.0
SRR13899056,day,1.0
