acc,coverage,taxonomy
ERR10113508,8566.0,Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__; g__; s__
ERR10113508,6251.0,Root; d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__hgcI_clade; s__
ERR10113508,6088.0,Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Cyanobium_PCC-6307; s__
ERR10113508,4209.0,Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_III; g__; s__
ERR10113508,3639.0,Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29_marine_group; s__
ERR10113508,2336.0,Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Fluviicola; s__
ERR10113508,1918.0,Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter_sp._BACL10_MAG-120910-bin24; s__
ERR10113508,1477.0,Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__CL500-3; s__
ERR10113508,1447.0,Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__RS62_marine_group; s__
ERR10113508,1158.0,Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__LD29; s__
ERR10113508,947.0,Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ia; s__
ERR10113508,764.0,Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
ERR10113508,655.0,Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__; s__
ERR10113508,551.0,Root; d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__PeM15; f__; g__; s__
ERR10113508,547.0,Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__NS11-12_marine_group; g__; s__
ERR10113508,497.0,Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Kerstersia; s__
ERR10113508,483.0,Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudohongiellaceae; g__Pseudohongiella; s__
ERR10113508,480.0,Root; d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__
ERR10113508,477.0,Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__
ERR10113508,429.0,Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__OM43_clade; s__
ERR10113508,422.0,Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__
ERR10113508,404.0,Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__OM182_clade; g__; s__
ERR10113508,394.0,Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chlorophyta_symbiont_of_Lubomirskia_sp.; g__; s__
ERR10113508,386.0,Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__MWH-UniP1_aquatic_group; g__; s__
